category,date,original,dispatched,order$,ship$
hair care,2018-06-11,11341927.0,10423558.0,33946526.98000001,30977119.082999997
deo,2018-06-11,10002719.0,9298726.0,32514951.680000003,30034135.127000008
condiments,2018-06-11,7411570.0,6508466.0,24899286.74,22584419.89000001
home care,2018-06-11,936579.0,868095.0,3858731.989999998,3588592.987999999
other foods,2018-06-18,1072.0,864.0,2664.76,2113.56
svg other personal care,2018-06-18,261983.0,229540.0,1916339.53,1800365.482
tea,2018-06-18,2107837.0,1974090.0,6526138.160000001,6157626.012000002
home care,2018-06-18,809283.0,757705.0,3369477.93,3099039.8790000007
condiments,2018-06-18,8910663.0,8074109.0,30254835.56000001,28179872.570000004
ic-other,2018-06-18,726.0,426.0,9974.39,5840.89
skin care,2018-06-18,2883032.0,2699663.0,8422013.080000002,7833862.868
ice cream,2018-06-18,25441582.0,24981015.0,63239468.45000002,62112725.02499998
savoury,2018-06-18,10578705.0,10089285.0,10366902.920000002,10016944.11
hair care,2018-06-18,9995169.0,9243703.0,31995686.640000004,29279848.786000006
q-tips,2018-06-18,2365168.0,2189866.0,6676551.499999999,6389380.92
deo,2018-06-18,9385842.0,8567668.0,31055000.770000003,28126509.103
personal wash,2018-06-18,9286713.0,8314006.0,38812725.03999999,35732051.57299999
savoury,2018-06-25,12301727.0,11826007.0,12681265.5,12151798.559999997
q-tips,2018-06-25,2333047.0,2038953.0,6399893.350000001,5612206.023999999
hair care,2018-06-25,12142111.0,11594718.0,39403245.489999995,35996147.63999999
other foods,2018-06-25,3536.0,3200.0,8778.94,7895.06
svg other personal care,2018-06-25,393589.0,347924.0,2610664.1300000004,2290315.923
ice cream,2018-06-25,36649953.0,33749494.0,83219358.98999994,75661603.34500003
ic-other,2018-06-25,1206.0,1242.0,17031.34,17031.34
home care,2018-06-25,1635966.0,1177820.0,6865214.609999999,5363572.843999999
personal wash,2018-06-25,13110398.0,11665001.0,54244627.65,49674380.83200002
tea,2018-06-25,2100532.0,2014056.0,6973528.679999998,6658285.114
skin care,2018-06-25,3700683.0,2946987.0,11128285.270000001,8613451.525999999
deo,2018-06-25,10641190.0,9821608.0,36084471.49000001,32040680.613999993
condiments,2018-06-25,6856173.0,6550933.0,23671131.280000005,22331902.031000003
hair care,2018-07-02,6989494.0,6549078.0,22298000.289999995,20466704.22899999
svg other personal care,2018-07-02,246295.0,213429.0,1529977.8699999999,1362204.0729999999
tea,2018-07-02,1730880.0,1489813.0,5222758.16,4482363.7360000005
ice cream,2018-07-02,18502864.0,16198314.0,44656369.059999965,37687544.34999997
other foods,2018-07-02,520.0,512.0,1378.0,1356.8
deo,2018-07-02,6578203.0,5865499.0,22127044.440000005,19356646.825000007
personal wash,2018-07-02,6409994.0,5654767.0,26809431.01,23557655.86900001
home care,2018-07-02,1128969.0,853740.0,4345503.2299999995,3485565.8769999994
ic-other,2018-07-02,974.0,948.0,13606.23,13029.952
skin care,2018-07-02,2047365.0,1815099.0,6141065.260000002,5576642.974000002
q-tips,2018-07-02,904397.0,854246.0,2473534.4599999995,2336915.452999999
savoury,2018-07-02,8218154.0,8098205.0,8711889.409999998,8420191.779
condiments,2018-07-02,4055524.0,3625749.0,12890902.100000003,11770707.430000002
ic-other,2018-07-09,282.0,258.0,3870.9799999999996,3541.6199999999994
skin care,2018-07-09,2176260.0,2020100.0,6427334.330000001,5954601.172
deo,2018-07-09,8479544.0,7462282.0,28790283.050000012,24651668.129000004
other foods,2018-07-09,424.0,392.0,1123.6,1038.8
q-tips,2018-07-09,1314627.0,1284477.0,3907280.839999999,3730907.135999999
ice cream,2018-07-09,20400776.0,18638560.0,50796742.47,46354870.23000002
hair care,2018-07-09,8111275.0,7611962.0,25442908.77,23450723.400000002
savoury,2018-07-09,11338793.0,9524081.0,10570497.49,9790820.296000006
home care,2018-07-09,1050730.0,936258.0,4229990.640000001,3883341.412
tea,2018-07-09,1826960.0,1710196.0,5763859.32,5396730.692000002
personal wash,2018-07-09,7979808.0,7305398.0,34592514.900000006,31900329.474000003
svg other personal care,2018-07-09,272557.0,253216.0,2042849.3600000006,1855768.8770000003
condiments,2018-07-09,4680699.0,4474371.0,14787000.87,14067023.433
home care,2018-07-16,996212.0,918714.0,4120764.9499999993,3869105.6570000006
tea,2018-07-16,2369463.0,2264660.0,7228414.430000002,6898688.250999999
q-tips,2018-07-16,1441490.0,1351472.0,4422736.8,4205537.187000001
savoury,2018-07-16,15649130.0,14988685.0,14910125.120000001,13936379.166
skin care,2018-07-16,2791443.0,2506239.0,8810206.930000007,7815848.842000001
ic-other,2018-07-16,660.0,660.0,8988.23,8988.23
personal wash,2018-07-16,8946646.0,8147134.0,37834505.33000001,34243709.05599999
deo,2018-07-16,9252861.0,8237314.0,30634067.889999993,26095867.440999996
other foods,2018-07-16,2744.0,208.0,7206.32,551.2
svg other personal care,2018-07-16,300699.0,276102.0,2355547.5400000005,1931852.9599999993
ice cream,2018-07-16,20776534.0,18517502.0,47754675.28000001,42992852.45900002
condiments,2018-07-16,6302876.0,4780008.0,18111662.37,16267946.033999994
hair care,2018-07-16,9889197.0,8921453.0,28907193.060000002,26747832.99
personal wash,2018-07-23,9373020.0,8302115.0,38138892.55999999,33828401.587000005
skin care,2018-07-23,2713415.0,2457245.0,8452411.059999999,7393323.180000001
